id,zipcode,city,state,latitude,longitude
19410,54001,amery,wi,45.30691,-92.36214
19412,54612,arcadia,wi,44.253423,-91.48885
19413,54721,arkansaw,wi,44.6267,-92.0566
19414,54613,arkdale,wi,44.02719,-89.8879
19415,54806,ashland,wi,46.59244,-90.8838
19418,54722,augusta,wi,44.699923,-91.12509
19419,54002,baldwin,wi,44.96663,-92.37436
19420,54810,balsam lake,wi,45.45218,-92.45464
19421,54614,bangor,wi,43.89302,-90.99041
19422,54812,barron,wi,45.40135,-91.84906
19424,54813,barronett,wi,45.619,-92.0196
19425,54723,bay city,wi,44.58552,-92.45046
19426,54814,bayfield,wi,46.81077,-90.81824
19427,54003,beldenville,wi,44.7721,-92.4372
19428,54817,birchwood,wi,45.66634000000001,-91.556
19429,54834,edgewater,wi,45.74218,-91.47516
19430,54857,mikana,wi,45.5919,-91.60128
19431,54615,black river falls,wi,44.2954,-90.8313
19433,54616,blair,wi,44.2944,-91.23516
19434,54724,bloomer,wi,45.10024,-91.48877
19435,54725,boyceville,wi,45.062111,-92.02641
19436,54726,boyd,wi,44.95191,-91.03487
19437,54819,bruce,wi,45.452729999999995,-91.29437
19438,54820,brule,wi,46.553,-91.57658
19439,54821,cable,wi,46.20801,-91.29213
19440,54727,cadott,wi,44.94802,-91.1507
19441,54822,cameron,wi,45.401621999999996,-91.72726999999999
19442,54618,camp douglas,wi,43.92247,-90.27152
19444,54637,hustler,wi,43.87997,-90.2718
19446,54619,cashton,wi,43.74191,-90.7793
19447,54824,centuria,wi,45.45135,-92.55409
19448,54621,chaseburg,wi,43.65775,-91.09652
19449,54728,chetek,wi,45.31413,-91.651
19450,54729,chippewa falls,wi,44.93691,-91.39293
19453,54774,chippewa falls,wi,45.07413,-91.294397
19455,54004,clayton,wi,45.33135,-92.1713
19456,54005,clear lake,wi,45.25191,-92.2713
19457,54622,cochrane,wi,44.22746,-91.83516
19460,54730,colfax,wi,44.99746,-91.72712
19461,54826,comstock,wi,45.4911,-92.086
19462,54731,conrath,wi,45.38608,-91.0382
19463,54623,coon valley,wi,43.70219,-91.01319
19464,54732,cornell,wi,45.155211,-91.17005
19465,54827,cornucopia,wi,46.802909,-91.10944
19466,54828,couderay,wi,45.79551,-91.30683
19468,54829,cumberland,wi,45.53218,-92.01935
19469,54006,cushing,wi,45.5604,-92.6241
19470,54733,dallas,wi,45.25913,-91.8149
19472,54830,danbury,wi,46.00661,-92.3713
19476,54007,deer park,wi,45.18802,-92.38547
19477,54624,de soto,wi,43.42303,-91.19902
19479,54625,dodge,wi,44.13052800000001,-91.52601
19480,54734,downing,wi,45.04635,-92.13213
19481,54735,downsville,wi,44.946496,-91.90344
19482,54009,dresser,wi,45.35607,-92.63354
19483,54832,drummond,wi,46.33689,-91.25797
19484,54736,durand,wi,44.62635,-91.96573
19485,54626,eastman,wi,43.16637,-91.01763
19487,54640,lynxville,wi,43.24637,-91.05624
19488,54657,steuben,wi,43.18109000000001,-90.85874
19489,54701,eau claire,wi,44.780427,-91.48065
19490,54702,eau claire,wi,44.726626,-91.285931
19491,54703,eau claire,wi,44.829609999999995,-91.50520999999999
19492,54737,eau galle,wi,44.71895900000001,-91.99704
19493,54738,eleva,wi,44.5758,-91.47016
19494,54739,elk mound,wi,44.87302,-91.691
19495,54010,east ellsworth,wi,44.73413,-92.46797
19498,54011,ellsworth,wi,44.73219,-92.48741
19499,54740,elmwood,wi,44.78108,-92.14601
19500,54627,ettrick,wi,44.16829,-91.26904
19501,54835,exeland,wi,45.66802,-91.24405
19502,54741,fairchild,wi,44.601345,-90.98854
19503,54742,fall creek,wi,44.76357,-91.2771
19504,54628,ferryville,wi,43.35053,-91.10207
19505,54629,fountain city,wi,44.13288,-91.67721999999999
19506,54837,frederic,wi,45.65912,-92.46714
